br.com.intermedium;INTER;4.5;360533;10000000;2020-07-27
com.nu.production;NUBANK;4.5;411960;10000000;2020-08-03
br.com.neon;NEON;4.4;189827;10000000;2020-07-30
br.com.bradesco.next;NEXT;4.3;160969;5000000;2020-07-18
br.com.uol.ps.myaccount;PAGSEGURO;4.7;720383;10000000;2020-08-04
br.com.bancopan.cartoes;PAN;3.5;52367;1000000;2020-07-14
br.com.original.bank;ORIGINAL;3.7;77262;5000000;2020-08-03
com.bs2.mobilebanking.hub.conta.digital;BS2;4.6;17317;1000000;2020-07-25
goova.sofisa.client.v2;SOFISA;4.3;9336;500000;2020-06-09
com.c6bank.app;C6 BANK;4.2;67168;1000000;2020-08-06
com.mercadolibre;MERCADO LIVRE;4.8;9288111;100000000;2020-08-04
com.amazon.mShop.android.shopping;AMAZON SHOPPING;4.1;1460664;100000000;2020-07-27
com.amazon.avod.thirdpartyclient;AMAZON PRIME;4.4;1896567;100000000;2020-08-03
br.com.bb.android;BANCO DO BRASIL;4.6;2500272;50000000;2020-07-31
com.itau;ITAU;4.4;1486759;10000000;2020-07-29
com.santander.app;SANTANDER;4.3;1330601;10000000;2020-08-03
com.bradesco;BRADESCO;4.4;1613516;50000000;2020-07-21
br.com.gabba.Caixa;CAIXA ECONOMICA FEDERAL;4.2;1662170;50000000;2020-06-25
com.b2w.americanas;AMERICANAS;4.2;418165;50000000;2020-08-02
com.b2w.submarino;SUBMARINO;4.0;91167;10000000;2020-08-04
com.b2w.shoptime;SHOPTIME;4.4;102106;10000000;2020-08-04
com.luizalabs.mlapp;MAGAZINE LUIZA;4.2;418166;50000000;2020-07-23
com.novapontocom.casasbahia;CASAS BAHIA;3.7;135053;10000000;2020-08-03
com.br.GeraTech.Genial;GENIAL;4.5;1194;50000;2020-07-16
com.sonyericsson.pontofrio;PONTO FRIO;3.7;32250;5000000;2020-08-03
com.novapontocom.extra;EXTRA;2.8;26776;1000000;2018-07-16
com.portal.android;STONE;3.9;1353;100000;2020-08-04
br.com.agipag.app;AGIBANK;3.2;22583;1000000;2020-08-04
br.com.meupag;MEU PAG!;3.8;98027;5000000;2020-07-29
com.mercadopago.wallet;MERCADO PAGO;4.5;1210170;10000000;2020-08-05
com.btg.pactual.digital.mobile;BTG PACTUAL;4.4;13666;1000000;2020-08-04
com.picpay;PICPAY;3.3;246312;10000000;2020-08-01
br.com.digio;DIGIO;4.3;352417;5000000;2020-07-27
br.com.cielo.hyaku;CIELO;2.5;1207;100000;2020-06-16
br.com.rico.mobile;RICO;4.6;107916;1000000;2020-08-05
com.b2winc.amedigital;AME DIGITAL;4.3;134059;5000000;2020-07-30
com.itau.iti;ITI;3.8;10289;1000000;2020-07-28
com.recarga.recarga;RECARGAPAY;4.1;469355;10000000;2020-07-31
com.itaucard.activity;ITAUCARD;4.3;429514;10000000;2020-07-28
br.com.santander.way;SANTANDER WAY;4.5;982569;10000000;2020-08-02
br.com.bradesco.cartoes;BRADESCO CARTOES;3.9;159505;10000000;2020-06-25
com.bs2.banco.conta.digital.flamengo;BS2 FLAMENGO;4.7;14172;100000;2020-06-25
br.com.xp.carteira;XP INVESTIMENTOS;4.6;114984;1000000;2020-08-04
br.com.orama.mobile;ORAMA;4.6;756;100000;2020-08-01
br.com.easynvest.rendafixa;EASYNVEST;3.8;23795;1000000;2020-08-04
br.com.clear.droid;CLEAR;2.7;16369;1000000;2019-11-23
br.com.invistacompi.app;PI INVESTIMENTOS;2.7;481;50000;2020-07-08
com.airbnb.android;AIRBNB;4.6;974612;50000000;2020-08-05
com.alibaba.aliexpresshd;ALIEXPRESS;4.5;10010639;100000000;2020-07-29
amaro.amaroandroid;AMARO;4.6;7032;1000000;2020-07-13
br.com.arezzo;AREZZO;4.8;1941;100000;2020-07-01
com.gmail.fernandolabrada.avon;AVON;1.9;250;100000;2019-07-18
br.com.avon.mobile_commerce;AVON CONSULTORA;4.7;64090;1000000;2020-07-29
br.com.belezanaweb.android;BELEZA NA WEB;4.6;11667;1000000;2020-07-07
com.booking;BOOKING;4.7;2690469;100000000;2020-08-05
br.com.amil.beneficiarios;AMIL;4.1;116510;1000000;2020-07-31
com.unimed.guiamdico;UNIMED;2.6;10156;1000000;2019-10-16
br.com.hapvida.hapvida;HAPVIDA;3.7;4680;1000000;2020-06-12
com.boticario.mobile;BOTICARIO;4.5;16422;1000000;2020-07-07
br.com.hermespardini.app;HERMES PARDINI;3.3;564;100000;2020-07-29
com.localiza.mobile;LOCALIZA;4.5;8285;1000000;2020-07-23
